iter	Passed	Remaining
0	5	5772
1	9	4802
2	13	4520
3	17	4235
4	20	4077
5	24	3993
6	27	3952
7	31	3908
8	36	3966
9	40	3985
10	43	3950
11	47	3918
12	50	3860
13	54	3808
14	57	3745
15	59	3688
16	63	3646
17	66	3612
18	69	3571
19	72	3533
20	75	3513
21	79	3517
22	82	3508
23	85	3493
24	89	3477
25	92	3468
26	96	3478
27	99	3459
28	102	3446
29	106	3431
30	109	3433
31	113	3431
32	117	3430
33	120	3427
34	124	3419
35	127	3403
36	130	3386
37	133	3368
38	135	3349
39	138	3333
40	142	3329
41	145	3317
42	148	3311
43	151	3299
44	155	3292
45	158	3279
46	161	3266
47	164	3255
48	167	3244
49	170	3239
50	174	3242
51	177	3236
52	180	3228
53	184	3224
54	187	3222
55	190	3216
56	193	3208
57	197	3206
58	201	3210
59	205	3212
60	208	3205
61	211	3201
62	214	3192
63	218	3192
64	221	3183
65	224	3174
66	227	3165
67	230	3157
68	234	3160
69	237	3153
70	240	3145
71	243	3135
72	246	3130
73	249	3121
74	252	3112
75	255	3106
76	258	3098
77	262	3101
78	265	3100
79	269	3096
80	272	3088
81	275	3082
82	278	3074
83	281	3066
84	284	3059
85	287	3051
86	290	3046
87	293	3046
88	297	3040
89	300	3037
90	303	3030
91	306	3022
92	309	3017
93	312	3010
94	315	3002
95	318	2996
96	321	2990
97	325	2991
98	328	2987
99	331	2980
100	334	2973
101	337	2968
102	340	2962
103	343	2957
104	346	2957
105	350	2952
106	353	2952
107	357	2953
108	360	2947
109	364	2946
110	367	2941
111	370	2936
112	373	2930
113	376	2925
114	379	2919
115	382	2917
116	386	2916
117	389	2910
118	392	2905
119	395	2899
120	398	2895
121	401	2889
122	404	2884
123	407	2881
124	410	2876
125	413	2870
126	417	2867
127	420	2862
128	423	2856
129	426	2852
130	429	2848
131	432	2842
132	435	2839
133	438	2836
134	441	2831
135	445	2827
136	448	2822
137	451	2820
138	455	2819
139	458	2814
140	461	2808
141	464	2806
142	467	2801
143	470	2795
144	473	2791
145	476	2786
146	479	2785
147	483	2784
148	486	2779
149	489	2775
150	493	2775
151	496	2771
152	499	2767
153	502	2761
154	505	2756
155	508	2752
156	511	2748
157	515	2744
158	518	2741
159	521	2737
160	524	2733
161	527	2730
162	531	2726
163	534	2722
164	537	2720
165	541	2719
166	544	2714
167	547	2709
168	550	2706
169	554	2705
170	557	2702
171	560	2697
172	563	2694
173	566	2690
174	570	2688
175	574	2690
176	577	2686
177	580	2682
178	584	2679
179	587	2675
180	590	2671
181	593	2666
182	596	2663
183	599	2660
184	603	2660
185	607	2657
186	610	2654
187	613	2650
188	616	2647
189	619	2642
190	623	2639
191	626	2636
192	629	2633
193	634	2634
194	637	2632
195	640	2628
196	643	2624
197	647	2620
198	650	2617
199	653	2615
200	657	2613
201	660	2609
202	664	2608
203	667	2604
204	670	2601
205	674	2597
206	677	2594
207	680	2590
208	684	2588
209	687	2586
210	691	2584
211	694	2581
212	697	2578
213	701	2577
214	705	2574
215	708	2572
216	711	2567
217	715	2565
218	718	2561
219	721	2557
220	724	2553
221	728	2552
222	731	2549
223	734	2545
224	738	2542
225	741	2538
226	744	2536
227	747	2531
228	750	2527
229	753	2522
230	757	2520
231	760	2518
232	764	2516
233	768	2514
234	770	2507
235	773	2503
236	777	2502
237	780	2498
238	783	2494
239	786	2490
240	789	2486
241	792	2482
242	795	2479
243	798	2475
244	801	2470
245	804	2466
246	807	2462
247	810	2458
248	813	2454
249	817	2451
250	820	2447
251	823	2443
252	826	2439
253	829	2435
254	832	2431
255	835	2427
256	838	2424
257	841	2420
258	844	2416
259	847	2412
260	851	2411
261	854	2407
262	857	2403
263	860	2399
264	864	2396
265	867	2392
266	870	2389
267	873	2386
268	876	2382
269	881	2383
270	884	2380
271	888	2377
272	891	2372
273	894	2370
274	897	2366
275	900	2362
276	903	2358
277	906	2354
278	910	2352
279	914	2350
280	917	2346
281	920	2342
282	923	2339
283	926	2335
284	929	2331
285	932	2326
286	935	2323
287	938	2319
288	941	2317
289	944	2313
290	947	2309
291	950	2305
292	953	2301
293	957	2298
294	960	2294
295	963	2290
296	966	2287
297	969	2283
298	973	2281
299	976	2277
300	979	2274
301	982	2270
302	985	2267
303	988	2263
304	991	2259
305	994	2256
306	998	2252
307	1001	2249
308	1004	2246
309	1007	2242
310	1010	2238
311	1013	2234
312	1016	2231
313	1020	2228
314	1023	2225
315	1026	2221
316	1029	2217
317	1032	2215
318	1036	2212
319	1040	2210
320	1043	2207
321	1046	2204
322	1049	2200
323	1052	2196
324	1055	2192
325	1058	2189
326	1061	2185
327	1064	2181
328	1067	2177
329	1070	2174
330	1074	2170
331	1077	2167
332	1080	2163
333	1083	2159
334	1086	2156
335	1089	2152
336	1092	2148
337	1095	2145
338	1098	2142
339	1101	2138
340	1104	2134
341	1107	2131
342	1110	2127
343	1113	2124
344	1116	2120
345	1119	2116
346	1123	2114
347	1126	2111
348	1130	2107
349	1133	2104
350	1136	2101
351	1139	2097
352	1142	2094
353	1145	2090
354	1148	2086
355	1151	2083
356	1154	2079
357	1158	2077
358	1161	2073
359	1164	2070
360	1167	2067
361	1170	2063
362	1173	2059
363	1176	2055
364	1179	2052
365	1182	2049
366	1186	2046
367	1189	2043
368	1192	2039
369	1195	2036
370	1198	2032
371	1201	2029
372	1205	2026
373	1208	2023
374	1212	2021
375	1216	2018
376	1219	2015
377	1222	2012
378	1226	2008
379	1229	2005
380	1232	2001
381	1234	1997
382	1237	1994
383	1241	1991
384	1244	1988
385	1248	1985
386	1251	1982
387	1254	1978
388	1257	1975
389	1260	1971
390	1263	1968
391	1266	1964
392	1269	1960
393	1272	1957
394	1275	1954
395	1279	1951
396	1282	1948
397	1285	1944
398	1289	1942
399	1293	1940
400	1296	1936
401	1299	1933
402	1303	1931
403	1306	1927
404	1310	1925
405	1313	1921
406	1316	1918
407	1320	1915
408	1323	1912
409	1326	1909
410	1330	1906
411	1333	1903
412	1337	1901
413	1341	1899
414	1344	1895
415	1348	1892
416	1351	1889
417	1355	1886
418	1358	1883
419	1361	1880
420	1364	1876
421	1367	1873
422	1370	1869
423	1374	1867
424	1378	1864
425	1381	1861
426	1384	1858
427	1388	1855
428	1391	1852
429	1394	1849
430	1398	1846
431	1402	1843
432	1405	1840
433	1408	1837
434	1411	1833
435	1416	1831
436	1421	1831
437	1424	1827
438	1426	1823
439	1431	1821
440	1435	1819
441	1439	1817
442	1442	1814
443	1446	1810
444	1449	1807
445	1453	1804
446	1455	1801
447	1459	1797
448	1462	1794
449	1466	1792
450	1469	1788
451	1472	1785
452	1475	1781
453	1478	1778
454	1481	1774
455	1485	1772
456	1488	1768
457	1492	1765
458	1495	1762
459	1498	1759
460	1501	1756
461	1505	1752
462	1508	1749
463	1511	1745
464	1514	1742
465	1517	1739
466	1521	1736
467	1524	1733
468	1527	1729
469	1531	1727
470	1534	1724
471	1538	1721
472	1542	1718
473	1545	1714
474	1548	1711
475	1551	1708
476	1554	1704
477	1558	1702
478	1562	1699
479	1565	1695
480	1568	1691
481	1570	1688
482	1574	1684
483	1577	1681
484	1580	1678
485	1583	1675
486	1587	1672
487	1590	1669
488	1593	1665
489	1596	1661
490	1599	1658
491	1602	1654
492	1605	1651
493	1608	1648
494	1611	1644
495	1614	1640
496	1617	1637
497	1621	1634
498	1624	1630
499	1627	1627
500	1630	1624
501	1633	1620
502	1636	1617
503	1639	1613
504	1642	1610
505	1645	1606
506	1648	1603
507	1652	1600
508	1655	1596
509	1658	1593
510	1661	1589
511	1664	1586
512	1667	1582
513	1670	1579
514	1673	1575
515	1676	1572
516	1679	1569
517	1682	1565
518	1685	1562
519	1688	1558
520	1691	1555
521	1694	1552
522	1698	1548
523	1701	1546
524	1705	1542
525	1708	1539
526	1712	1536
527	1715	1533
528	1718	1530
529	1721	1526
530	1724	1523
531	1727	1519
532	1730	1516
533	1733	1512
534	1736	1509
535	1739	1505
536	1742	1502
537	1746	1499
538	1749	1496
539	1753	1493
540	1755	1489
541	1758	1486
542	1761	1482
543	1764	1479
544	1767	1475
545	1770	1471
546	1772	1468
547	1775	1464
548	1779	1461
549	1782	1458
550	1784	1454
551	1787	1450
552	1790	1447
553	1793	1444
554	1796	1440
555	1799	1437
556	1803	1434
557	1806	1430
558	1809	1427
559	1812	1424
560	1815	1420
561	1818	1417
562	1821	1413
563	1824	1410
564	1827	1406
565	1830	1403
566	1834	1400
567	1837	1397
568	1840	1393
569	1843	1390
570	1846	1387
571	1849	1383
572	1852	1380
573	1855	1377
574	1858	1373
575	1861	1370
576	1865	1367
577	1869	1364
578	1872	1361
579	1875	1358
580	1879	1355
581	1883	1352
582	1886	1349
583	1889	1345
584	1892	1342
585	1896	1339
586	1900	1337
587	1903	1333
588	1906	1330
589	1910	1327
590	1913	1323
591	1916	1320
592	1919	1317
593	1923	1314
594	1927	1311
595	1930	1308
596	1933	1305
597	1937	1302
598	1940	1298
